promise_id,promise_text,verdict,confidence,p_completed,p_in_progress,p_not_done
P1,"To make all activities connected with procurements, developmental and infrastructural activities and recruitments transparent and accountable.",Uncertain,0.5,0.249,0.502,0.249
P3,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006,Completed,0.85,0.848,0.127,0.026
P5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,In Progress,0.84,0.042,0.844,0.114
P6,Giving due weightage to the contractual and guest faculties by brining suitable amendments to the recruitment rules.,In Progress,0.0,0.0,1.0,0.0
P4,To regularize the services of the presently working in source employees under,Completed,0.67,0.665,0.09,0.245
P7,"To give benefits to Increase monthly salary of Anganwadi Workers from to Rs. 11,500 to Rs. 15,000/ - and retirement benefit of Rs. 3 Lakhs on premature death or retirement",Not Done,0.55,0.202,0.247,0.55
P10,"Toenhance honorarium to Midday Meal Cooks from Rs.3,600 to Rs.6,000/-",Completed,0.55,0.55,0.247,0.202
P2,To fill up approved vacancies in all Government Departments with in one year.,In Progress,0.59,0.049,0.592,0.359
P9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",Completed,0.71,0.705,0.259,0.035
P8,"To give benefits to Mini Anganwadi workers from to Rs. 7,500 to Rs.10,000 and retirement benefit of Rs. 2 Lakhs on premature death or retirement",Uncertain,0.5,0.249,0.502,0.249
P11,"To abolish corruption in public works and to create a transparent tender systems in PWD, Rural Development, Irrigation, Urban Development and Power sector by enacting a special law to punish the perpetrators of corruption.",Uncertain,0.5,0.249,0.502,0.249
P12,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement.",In Progress,0.94,0.028,0.943,0.028
P16,To establish a seed fund of Rs.200 crores to create infrastructure in Cyber Crimes and financial investigations.,Uncertain,0.5,0.249,0.502,0.249
P13,To increase recruitment of women in Police Force to 33% of the total strength with at least 1% reservation for Gender Minorities.,Not Done,0.55,0.202,0.247,0.55
P15,To provide housing to all the police personnel within five years.,In Progress,0.84,0.114,0.844,0.042
P14,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.,Not Done,0.71,0.035,0.259,0.705
P20,To set up high-speed WiFi hotspots in every Panchayath.,In Progress,0.8,0.098,0.803,0.098
P17,To set up a dedicated fund of Rs 2000 crore to modernise all the existing courts of the state.,In Progress,0.94,0.028,0.943,0.028
P21,"Mahatma Gandhi Gram Swaraj Scheme - To invest Rs. 50 thousand crores in five years to improve facilities in villages, to provide clean drinking water, sanitation, basic education, health and all weather roads.",In Progress,0.67,0.165,0.67,0.165
P23,"To take up construction of apartments with all facilities, regularise all slums, provide them title deeds and re name the slums as Shramika Vasathi Samuchhaya",Uncertain,0.5,0.249,0.502,0.249
P18,To reduce registration fee concerning Gift & Will on landed property within the family .,In Progress,0.84,0.114,0.844,0.042
P19,"The Congress Party is committed to take firm and decisive action against individuals and organisations spreading hatred amongst communities on grounds of caste or religion. We believe that law and Constitution is sacrosanct and can not be violated by individuals and Organisations like Bajrang Dal, PFI or others promoting enmity or hatred, whether among majority or minority communities. We will take decisive action as per law including imposing a ban on any such organisations. Regional and Rural Development",In Progress,0.84,0.114,0.844,0.042
P22,To extend Bengaluru's TenderSURE road model to cities with a population more than 10 Lakh.,Uncertain,0.5,0.249,0.502,0.249
P26,"Krishi Sarvodaya Nidhi - To allocate Rs. 1.50 lakh crores in five years for modernization of agriculture, subsidy, loan and insurance.",Uncertain,0.5,0.249,0.502,0.249
P25,To frame rules to double the FAR for buildings in II tier cities to enterprises which generate employment.,Uncertain,0.5,0.249,0.502,0.249
P27,"Committed to AICC session held at Raipur the congress party would implement guarantees of MSP based on the report of Agricultural price fixation commission, in consultation with the farmers representatives to the Agricultural and Horticultural produce",In Progress,0.0,0.0,1.0,0.0
P24,"To amend Karnataka Apartment Ownership Act, 1972 to provide for conveyance of property and land to group of owners.",In Progress,0.84,0.114,0.844,0.042
P28,To increase interest free soft loans to the farmers from Rs. 3 lakhs to 10 lakhs and with minimum interest of 3% upto Rs. 15 lakhs and to reimburse the differential interest by Government.,Not Done,0.75,0.101,0.151,0.748
P31,Savayava Saradaara Yojane to promote Organic farming investing Rs.2500 crores in five years.,Uncertain,0.5,0.249,0.502,0.249
P34,To reintroduce subsidy for installation of solar pump-sets with 75% of the cost as subsidy.,In Progress,0.0,0.0,1.0,0.0
P29,To promote Agro based village industries run by rural women by investing Rs.200 crores.,In Progress,0.59,0.359,0.592,0.049
P33,Jala Chethana Andolana - 100% subsidy to drip and sprinkler irrigation,Uncertain,0.5,0.249,0.502,0.249
P32,"Anew development board ""Negila Tuditha"" with seed money of Rs.500 crores. to focus on landless agricultural labourers and tenant farmers.",Uncertain,0.5,0.249,0.502,0.249
P38,To provide possession certificates to the famers of Malnad.,Uncertain,0.5,0.249,0.502,0.249
P30,To repeal the anti farmer laws enacted by BJP Government and to withdraw all politically motivated cases against farmers.,In Progress,0.94,0.028,0.943,0.028
P36,To create Prakruthi Vikopa Nidhi - a permanent fund - by creating an initial corpus fund of Rs.5000 crores.,Uncertain,0.5,0.249,0.502,0.249
P40,Toassist the grape growers by providing subsidies - allotment of Rs.500 Crore.,In Progress,0.0,0.0,1.0,0.0
P35,To form self-help group for rural agriculturist women and provide Rs.3 lakhs interest free revolving loan.,In Progress,0.57,0.313,0.571,0.115
P43,"To create ""Sericulture Stability Revolving Fund"" with Rs.2000 Crores as initial deposit.",In Progress,0.0,0.0,1.0,0.0
P41,"To provide special package for development of floriculture in Bengaluru, Ramanagara and Chikkaballapura by investing Rs.500 crores.",In Progress,0.0,0.0,1.0,0.0
P44,To provide Rs 3 lakh interest-free loans to all silk yarn reelers,Uncertain,0.5,0.249,0.502,0.249
P37,To offer reasonable compensation during drought and famine situations for the loss of agricultural produce. To postpone the recovery of distressed loans and waive complete interest,Uncertain,0.5,0.249,0.502,0.249
P46,Pashu Bhagya - To give loans upto Rs.3 lakhs at zero interest to dairy farmers to purchase superior Cow/Buffalo breed.,Uncertain,0.5,0.249,0.502,0.249
P45,To implement Ksheera Kranthi - Mission 1.5 Crore litres of milk production per day.,Uncertain,0.5,0.249,0.502,0.249
P49,Ksheera Kranti Credit Cards — To provide all dairy farmers with Ksheera,Not Done,0.55,0.202,0.247,0.55
P39,To establish an Agriculture Price Commission in each revenue division.,In Progress,0.94,0.028,0.943,0.028
P47,"To establish Kurigahi Samvardhana Nidhi - Rs 1,000 Crore fund for sheep rearing.",In Progress,0.0,0.0,1.0,0.0
P48,Ksheeradhare — To increase the per litre milk subsidy for all dairy farmers from Rs.5 to Rs.7/-.,Uncertain,0.5,0.249,0.502,0.249
P50,"Kranthi Credit Cards with a credit limit of Rs.50,000.",Uncertain,0.5,0.249,0.502,0.249
P54,"Matsyakranthi - to make projects to rise in five years Rs 12,000 Crore Blue",In Progress,0.0,0.0,1.0,0.0
P42,To create a brand for Coffee in Karnataka.,In Progress,0.84,0.042,0.844,0.114
P51,Runamuktha Kurigahi Yojane: To waive the Loan upto Rs | lakh of all sheep and goat rearing farmers.,Uncertain,0.5,0.249,0.502,0.249
P53,To provide interest-free loans to women to buy 2 cows or buffalos.,Uncertain,0.42,0.422,0.422,0.155
P57,Matsya Bhagya — To provide 500 litres of tax-free diesel every year for deep sea fishing.,Uncertain,0.5,0.249,0.502,0.249
P52,To purchase cow-dung @Rs.3/- per KG and establish compost/manure centers in villages involving rural women/Youth.,In Progress,0.57,0.313,0.571,0.115
P56,To provide interest-free loans of up to Rs 3 lakhs to fisherwomen.,In Progress,0.59,0.359,0.592,0.049
P58,"To provide financial assistance of Rs 10,000 to all the Nadadoni fishermen",In Progress,0.0,0.0,1.0,0.0
P55,"""Matysa Sarvodaya Nidhi"" - To establish a Rs 5000 Crore fund to improve the fishing sector as a whole.",Uncertain,0.5,0.249,0.502,0.249
P60,To arrange dredging at the points of anchorages in the jetties/ports or places where the fishing boats are being anchored.,Not Done,0.55,0.202,0.247,0.55
P62,"Mathsya Asha Kirana Yojane-—To provide Rs 6,000 to all the marine fishermen as alean period allowance during the fishing holiday.",In Progress,0.0,0.0,1.0,0.0
P59,Matsya Mahithi Kendra - To establish a state-of-the-art satellite mapping centre at UDUPI.,In Progress,0.0,0.0,1.0,0.0
P65,". New Projects : Project Cost - Mekedatu -Rs. 9,000 Cr, Mahadayi -Rs. 3,000 Cr",In Progress,0.0,0.0,1.0,0.0
P66,". Existing projects : Upper Bhadra, Upper Krishna , Yethinahole and Varahi",In Progress,0.0,0.0,1.0,0.0
P61,"""Matsya Ashraya Yojane"" - Ensure Housing to all economically disadvantaged fishermen.",Uncertain,0.5,0.249,0.502,0.249
P63,To Spend Rs. 1.5 lakh crores for irrigation in the next 5 years (2023 to 2028).,In Progress,0.67,0.165,0.67,0.165
P67,"BJP has failed to implement Mahadayi project denying 3.9 TMC of clean drinking water to over 50 lakh residents living across Belagavi, Hubli-Dharwaddistricts.",In Progress,0.0,0.0,1.0,0.0
P69,100% of the Mahadayi water allocated to Karnataka will be utilised,In Progress,0.0,0.0,1.0,0.0
P64,To pursue— and complete them within five years and provide budgetary support,Uncertain,0.42,0.422,0.422,0.155
P71,All the components of Mahadayi river diversion projects shall be completed in the next 5 years with a total outlay of Rs 3000 Cr,In Progress,0.0,0.0,1.0,0.0
P73,Congress will ensure responsible and secure rehabilitation of project affected families,Completed,0.76,0.756,0.076,0.169
P70,Rs 500 crore will be allocated in the first cabinet meeting,In Progress,0.94,0.028,0.943,0.028
P72,"Priority will be given to drinking water, agriculture, and then to electricity generation",In Progress,0.84,0.114,0.844,0.042
P68,Action willbe taken to obtain necessary clearances from the Union Government,In Progress,0.84,0.114,0.844,0.042
P74,Congress will adopt latest state-of-the-art technology for the construction of Kalasa and Banduri dams to undertake desilting of Thungabadra Dam on priority to ensure the 200 TMC of storage is not lost and additional area of agricultural area is brought under irrigation,In Progress,0.0,0.0,1.0,0.0
P76,To Establish a Gold and Diamond Park of International Standard in Mangaluru ina secure zone with all amenities to attract tourism and trade on par with Dubai.,In Progress,0.0,0.0,1.0,0.0
P75,"To provide Rs. 1000 crores for cleaning all important rivers in Karnataka (Kali, Bedthi, Krishna, Tungabhadra, Malaprabha, Bhima, Cauvery, Kabini, Shimsha, Arkavathi, Yagachi, Kumaradhara and Nethravathi Rivers) over a period of 5 years.",In Progress,0.0,0.0,1.0,0.0
P77,To develop the industrial infrastructure in the border areas of the state Talaped (Kerala) Nippani (Maharastra) Bidar (Maharastara / Telangana) Sarjapura (Tamilnadu) and Srinivasapura (Andrapradesh) established Border Industrial Development Board with the investment of rs. 5000 Crs in five years.,In Progress,0.0,0.0,1.0,0.0
P78,To provide start-up fund of Rs. 10 crores to each constituency.,In Progress,0.84,0.114,0.844,0.042
P79,"To upgrade through Karnataka Industrial Area Development Board (KIADB) with all the facilities - Tech parks in Mysuru, Mangalore, and Hubli Dharwad with the prospect of creating one lakh employment under IT.",In Progress,0.0,0.0,1.0,0.0
P82,To create a Jean Capital of India in Bellary to boost exports to expand employments opportunities by creating an Apparel park by investing Rs. 5000 Cr,In Progress,0.0,0.0,1.0,0.0
P80,To reopen Brahmavar Vani Vilas Co-operative sugar factory.,In Progress,0.0,0.0,1.0,0.0
P81,To offer SGST concessions to 2 wheeler and 3 wheeler electric vehicles within urban limits as pollution free Green mobility solution.,Uncertain,0.5,0.249,0.502,0.249
P84,To offer Start up subsidy upto Rs. 25 lakhs and soft loan upto Rs. One crore @,In Progress,0.59,0.359,0.592,0.049
P83,"To create a Task Force to assist exporters in improving supply chains, market accessibility, and handholding for increasing exports.",Uncertain,0.44,0.162,0.398,0.44
P88,To provide loans at 5% interest rate and taxi permit to 50 youth in each constituency.,In Progress,0.0,0.0,1.0,0.0
P86,To Reduce stamp duty to MSME for hypothecation and equitable mortgage for bank loans.,In Progress,0.0,0.0,1.0,0.0
P85,"To set up a Welfare Fund worth Rs. 1,000 Crore to provide low-interest loans for small traders and shopkeepers to help revive key sectors of the local economy",Completed,0.55,0.55,0.247,0.202
P87,"To create a revolving fund of Rs. 5,000 crores for tourism development in the state.",In Progress,0.84,0.042,0.844,0.114
P89,To provide 6% interest subvention for loans up to Rs. 5 lakh for any infrastructural development by home-stay owners and to review the legal provisions. ,Uncertain,0.5,0.249,0.502,0.249
P91,To help small self - employed hotel / Bakery / Sweet Stall sector by offering loan up-to Rs 10 Lakhs with 6% interest,Uncertain,0.5,0.249,0.502,0.249
P90,To give Industry Status to Hotels with more than 20 employees.,In Progress,0.84,0.114,0.844,0.042
P93,To Offer 25% subsidy upto Rs. 3 lakhs for installing solar appliances for domestic use.,In Progress,0.57,0.313,0.571,0.115
P92,"To provide 200 units of free electricity to every house - ""GRUHAJYOTHI""",In Progress,0.84,0.114,0.844,0.042
P97,To ensure that the strength of Electric Buses is increased sharply so that within 2 years 50% of the buses are Electricity operated.,In Progress,0.0,0.0,1.0,0.0
P99,To increase the fleet strength of BMTC — to 10000 in five years.,In Progress,0.67,0.165,0.67,0.165
P98,To encourage E-vehicles - To make it compulsory to install E- Vehicle Charging points in apartments. Installation of E-Vehicle Charging points in all important junctions and Highways.,Completed,0.86,0.859,0.071,0.071
P100,To increase the KSRTC fleet — to 15000 Busses in five years,Uncertain,0.5,0.249,0.502,0.249
P94,To establish EV charging infrastructure and battery manufacturing units with 50% exemption in SGST and special subsidy,In Progress,0.94,0.028,0.943,0.028
P95,"To encourage more mega Solar Parks, to produce additional generation of 5000 MW Power",In Progress,0.84,0.114,0.844,0.042
P104,Torejuvenate existing Indira Canteens and extend them throughout the state.,In Progress,0.0,0.0,1.0,0.0
P96,SHAKTI - Free travel to all women through out the state in regular KSRTC Busses,In Progress,0.94,0.028,0.943,0.028
P101,To launch arural minibus program in collaboration with public participation,Uncertain,0.5,0.249,0.502,0.249
P102,To stop the mining Mafia and stop the loot of natural resources and make suitable changes to mining laws.,Uncertain,0.5,0.249,0.502,0.249
P106,Toregulate the fees in the schools and to reduce the fees of BPL Students.,In Progress,0.0,0.0,1.0,0.0
P103,ANNABHAGYA 10 kgs of free rice supply per person,In Progress,0.59,0.359,0.592,0.049
P107,"The BJP government has distorted the text books by insulting the great souls of Karnataka like Vishwa Guru Basavanna, Rastrakavi Kuvempu. The congress will restore the true values of Bharath and Karnataka and Scientific Temper in the text books to make the students evolved and complete.",In Progress,0.0,0.0,1.0,0.0
P109,To increase the income limit from Rs.3.5 lakhs to Rs.5 Lakhs under RTE Act for eligibility for admission to schools.,In Progress,0.57,0.313,0.571,0.115
P108,To establish Karnataka State Educational Financial Corporation with a seed money of Rs.2000 Crores for the purpose of bringing all State Scholarships in respect of all the categories under one umbrella for speedy and quick disbursement.,Uncertain,0.5,0.249,0.502,0.249
P105,To fill up all the vacancies of teachers and staff in Government and aided Schools/Colleges within one year,In Progress,0.94,0.028,0.943,0.028
P111,"To bear the college fee of 10% of the government school students on merit who study 6-12th class in Karnataka and secure an MBBS/IIT/IIM/Engineering seat on passing competitive examinations, in any college in India.",In Progress,0.0,0.0,1.0,0.0
P115,"To ensure that everyone gets the medicine at a reasonable price, 10 Kasturba Aushadha Kendras in each Taluk.",In Progress,0.0,0.0,1.0,0.0
P113,"To establish along all the national highways, a fully equipped trauma centre in every 100 KMs.",In Progress,0.8,0.098,0.803,0.098
P114,To extend Rashtriya Swasthya Bhima Yojna and bring all the health schemes under one umbrella and extend it to gig workers.,In Progress,0.67,0.165,0.67,0.165
P117,Puneeth Rajkumar Heart Health Scheme To offer subsidy to Doctors/ Clinics/Nursing Home to buy DEFIBRILLATOR (AED).,In Progress,0.57,0.313,0.571,0.115
P110, To upgrade 2500 Government Schools as smart schools in the state.,In Progress,0.94,0.028,0.943,0.028
P116,"To establish one Jayadeva like Heart Hospital, Kidwai like Cancer Hospital and NIMHANS type Psychiatric Hospitals in each revenue Division.",Uncertain,0.5,0.249,0.502,0.249
P112,To fill up vacancies of staffand doctors in all Government Hospitals.,In Progress,0.94,0.028,0.943,0.028
P118,"To ensure that all homeless families in Karnataka have a dwelling house under the existing schemes, within 5 years.",In Progress,0.94,0.028,0.943,0.028
P121,"To increase the celing and reservation from 50% to 75% to accommodate the hopes and aspirations of SC/ST/OBC/Minority/ and other communities like Lingayat and Vokkliggas. The Congress party committed to increase reservation for SC’s from 15% to 17%, for ST’s 3% to 7%, and restore minority reservation 4% and increase reservations Lingayat’s, Vokkaliggas’s and other communities and to pursue for inclusion in the 9th Schedule of the Constitution.",In Progress,0.0,0.0,1.0,0.0
P122,To release the Socio-Economic caste censes conducted by the congress government and accord social justice accordingly,In Progress,0.0,0.0,1.0,0.0
P123,To present the report of Justice Sadashiva Commission in the first session of the Legislative Assembly and Legislative Council and the Congress Party will strive to get justice to all the sub-groups and urge the Union Government to accept it.,In Progress,0.0,0.0,1.0,0.0
P120,To increase State Government subsidy of Rs. 3.5 lakhs to housing projects of the poor,In Progress,0.94,0.028,0.943,0.028
P125,"To provide every year, subsidy and loan with 3% interest to 25,000 youth of SC/ST communities under Airavata Scheme, for purchase of Taxi, Goods, Vehicle, three wheelers, four wheelers and other vehicles for selfemployment.",In Progress,0.0,0.0,1.0,0.0
P119,To waive offall Housing Loans under various Government Housing Schemes as a onetime measure.,Uncertain,0.5,0.249,0.502,0.249
P128,"To create a new ""Smt. Savitri Bai Pule Education Scheme to give Monthly incentives of Rs.150/- for students from | st Std. to Sth Standard, Rs.300/- for 6th to 10 std. students to be given. The incentive to be transferred to the Bank account of the mother of the student.",In Progress,0.0,0.0,1.0,0.0
P127,"To set up Rs. 1000 Crore revolving fund - ""Dr Bhimrao Ramji Ambedkar Entrepreneurship Fund"" - for organizing entrepreneurship development and incubation programs for SC entrepreneurs.",In Progress,0.0,0.0,1.0,0.0
P130,"To identify youths belonging to Pambada, Nalike, Parava and Kudbi of Dakshina Kannada and Udupi districts and to ensure 100% housing and also to train boys and girls for jobs.",In Progress,0.0,0.0,1.0,0.0
P131,To increase the insurance maturity amount given under the Bhagya Lakshmi scheme Rs.3 Lakhs to SC/ST families.,In Progress,0.0,0.0,1.0,0.0
P126,To take action to fill all the backlog vacancies within one year.,In Progress,0.84,0.114,0.844,0.042
P133,To construct 50 new Ekalavya residential schools in the next five years,In Progress,0.57,0.313,0.571,0.115
P129,"To open Literature, cultural and Arts academy under Kannada and Culture department for 46 castes of SC and ST, Nomedic and Semi-nomedic and OBC Category-I",In Progress,0.0,0.0,1.0,0.0
P134,To send 100 people from the leather based traditional artisans abroad for better training.,In Progress,0.0,0.0,1.0,0.0
P124,To provide house to all SC/ST families in the next five years. Government to build houses for SC/STs,In Progress,0.94,0.028,0.943,0.028
P132,To establish 100 Aranya Kendras in tribal areas to help and guide them in primary processing and value additions for their produce.,In Progress,0.0,0.0,1.0,0.0
P135,"To setup Rs 5000 crore revolving fund ""Socio-economic welfare Fund"" for the overall welfare of OBC communities involved in sculpting, pottery, weaving and other traditional occupations.",In Progress,0.0,0.0,1.0,0.0
